Ticker,Date,Open,Close,High,Low,Volume
BRK.B,2025-02-13,471.96,480.46,481.17,471.31,86595
BRK.B,2025-02-14,482,479.47,484.48,479.45,57748
BRK.B,2025-02-18,480.05,482.79,484,477.78,75318
BRK.B,2025-02-19,482.62,483.77,484.74,480.72,64698
BRK.B,2025-02-20,484.21,481.97,484.21,478.13,64439
BRK.B,2025-02-21,480.95,478.93,483.54,477.79,84889
BRK.B,2025-02-24,483.55,498.42,503.9,483.11,237495
BRK.B,2025-02-25,503.14,499.71,506.9,492.06,181276
BRK.B,2025-02-26,498.57,494.12,499.44,493.01,127688
BRK.B,2025-02-27,496.77,502.47,504.87,495.81,146823
BRK.B,2025-02-28,507.27,513.88,515.33,504.41,150184
BRK.B,2025-03-03,517.02,510.34,518.77,506.51,126903
BRK.B,2025-03-04,508.73,495.86,508.73,493.72,147206
BRK.B,2025-03-05,496.42,498.26,500.7,492.48,84467
BRK.B,2025-03-06,496.84,497.88,499.01,491.81,119754
BRK.B,2025-03-07,496.42,495.62,498.25,490.23,105117
BRK.B,2025-03-10,489.71,497.18,500.13,489.71,208588
BRK.B,2025-03-11,495.61,496.22,499.14,491.41,132999
BRK.B,2025-03-12,497.47,495.78,497.98,489,89676
BRK.B,2025-03-13,496.26,504.56,507.31,495.25,207551
BRK.B,2025-03-14,506.93,514.51,515.81,502.94,200897
BRK.B,2025-03-17,514.85,523.11,524.62,513.51,117810
BRK.B,2025-03-18,525.33,523.08,528.38,521.52,117697
BRK.B,2025-03-19,525.69,525.59,526.62,520.9,155194
BRK.B,2025-03-20,524.75,528.44,530.57,522.92,88537
BRK.B,2025-03-21,528.87,521.51,528.87,520.8,146513
BRK.B,2025-03-24,522.98,525.68,527.14,521.61,81283
BRK.B,2025-03-25,527.37,528.97,533.11,525.9,102548
BRK.B,2025-03-26,530.98,533.07,537.53,530.98,123837
BRK.B,2025-03-27,533.99,534.37,537.22,529.58,129069
BRK.B,2025-03-28,535.9,526.15,535.9,524.71,143091
BRK.B,2025-03-31,522.68,532.78,536.53,520.92,182006
BRK.B,2025-04-01,532.04,533.01,536.32,527.74,87891
BRK.B,2025-04-02,532.94,537.79,538.99,530.9,83806
BRK.B,2025-04-03,526.58,530.25,538.77,526.57,149497
BRK.B,2025-04-04,521,493.68,521,492.99,318976
BRK.B,2025-04-07,468.06,490.33,505.63,462.3,297042
BRK.B,2025-04-08,508.27,492.93,516,484.39,243162
BRK.B,2025-04-09,490,521.29,523.72,485.85,220177
BRK.B,2025-04-10,518.16,515.7,521.37,498.89,174241
BRK.B,2025-04-11,515.74,523.67,526.59,511.07,131877
BRK.B,2025-04-14,532.47,529.42,536.52,527.21,122969
BRK.B,2025-04-15,533.13,528.32,535.87,527.44,91341
BRK.B,2025-04-16,529.42,516.46,529.79,513,146230
BRK.B,2025-04-17,519.8,518.28,523.89,514.6,144178
GOOGL,2025-01-02,190.63,189.41,191.99,187.51,583780
GOOGL,2025-01-03,191.53,191.71,193.19,190,637193
GOOGL,2025-01-06,194.02,196.9,198.21,193.9,932137
GOOGL,2025-01-07,197.35,195.59,201,194.61,910597
GOOGL,2025-01-08,192.59,193.96,196.29,192.4,1276533
GOOGL,2025-01-10,194.22,192.02,196.48,190.31,1335564
GOOGL,2025-01-13,190.35,191,191.18,187.38,736084
GOOGL,2025-01-14,191.41,189.67,191.97,188.32,581738
GOOGL,2025-01-15,193.1,195.5,196.34,191.86,781964
GOOGL,2025-01-16,194.29,192.93,195.48,192.82,484730
GOOGL,2025-01-17,196.47,196.02,197.21,193.78,578119
GOOGL,2025-01-21,198.94,198.03,202.2,197.88,909303
GOOGL,2025-01-22,199.12,198.33,200.46,197.53,624685
GOOGL,2025-01-23,198.28,197.93,200.29,195.2,1149364
GOOGL,2025-01-24,198.04,200.19,200.9,198.03,764765
GOOGL,2025-01-27,192.44,191.94,196.89,190.73,1423693
GOOGL,2025-01-28,192.9,195.27,195.48,190.73,840830
GOOGL,2025-01-29,195.6,195.38,196.77,193.43,722031
GOOGL,2025-01-30,198.15,200.85,201.38,197.67,1077048
GOOGL,2025-01-31,202.07,204.01,205.47,201.85,1359720
